$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   9 "Tom King, Baron King of Bridgwater",Conservative Party
   9 "Bill Rodgers, Baron Rodgers of Quarry Bank",Labour Party
   8 Virginia Bottomley,Conservative Party
   8 Tristram Hunt,Labour Party
   8 Tessa Jowell,Labour Party
   8 Salma Yaqoob,Independent
   8 Philip Hammond,Conservative Party
   8 Peter Shore,Labour Party
   8 Peter Mandelson,Labour Party
   8 Norman St John-Stevas,Conservative Party
   8 Nick Clegg,Liberal Party
   8 Nick Brown,Labour Party
   8 Nicholas Soames,Conservative Party
   8 Julie Kirkbride,Conservative Party
   8 John Denham (politician),Labour Party
   8 Jeremy Hunt,Conservative Party
   8 Jane Moore,Unknown
   8 Jacob Rees-Mogg,Conservative Party
   8 Hilary Benn,Labour Party
   8 Enoch Powell,Ulster Unionist Party
   8 Elizabeth Truss,Conservative Party
   8 Elfyn Llwyd,Plaid Cymru
   8 Danny Alexander,Liberal Party
   8 Angela Browning,Conservative Party
   8 Alan Clark,Conservative Party
   8 "Rosie Boycott, Baroness Boycott",Unknown
   8 "John Patten, Baron Patten",Conservative Party
   8 "John MacGregor, Baron MacGregor of Pulham Market",Conservative Party
   8 "Chris Smith, Baron Smith of Finsbury",Labour Party
   7 Tim Yeo,Conservative Party
   7 Sue Slipman,Unknown
   7 Stella Creasy,Labour Party
   7 Simon Schama,Unknown
   7 Sandi Toksvig,Unknown
   7 Sajid Javid,Conservative Party
   7 Norman Baker,Liberal Party
   7 Nick Harvey,Liberal Party
   7 Neil Kinnock,Labour Party
   7 Michael Moore (British politician),Liberal Party
   7 Margaret Ewing,Scottish National Party
   7 Lisa Nandy,Labour Party
   7 John Banham,Unknown
   7 Jacqui Smith,Labour Party
   7 Jackie Ballard,Liberal Party
   7 Helen Liddell,Labour Party
   7 Gwyneth Dunwoody,Labour Party
   7 Edward du Cann,Unknown
   7 Ed Miliband,Labour Party
   7 David Alton,Unknown
   7 David Aaronovitch,Unknown
   7 Clive Anderson,Unknown
   7 Billy Bragg,Unknown
   7 Bernard Jenkin,Conservative Party
   7 Benjamin Zephaniah,Unknown
   7 Barbara Castle,Labour Party
   7 Ann Clwyd,Labour Party
   7 "Valerie Amos, Baroness Amos",Labour Party
   7 "Tim Razzall, Baron Razzall",Liberal Party
   7 "Sarah Hogg, Viscountess Hailsham",Conservative Party
   7 "Peter Walker, Baron Walker of Worcester",Conservative Party
   7 "Glenys Kinnock, Baroness Kinnock of Holyhead",Labour Party
   7 "Digby Jones, Baron Jones of Birmingham",Crossbench
   7 "David Hunt, Baron Hunt of Wirral",Conservative Party
   7 "Alex Carlile, Baron Carlile of Berriew",Liberal Party
   6 William Rees-Mogg,Unknown
   6 Tim Stanley,Unknown
   6 Tim Collins (politician),Conservative Party
   6 Theresa Villiers,Conservative Party
   6 Suzanne Evans,Conservative Party
   6 Stephen Dorrell,Conservative Party
   6 Roseanna Cunningham,Scottish National Party
   6 Rosalind Gilmore,Unknown
   6 Rhodes Boyson,Conservative Party
   6 Rachel Reeves,Labour Party
   6 Quentin Letts,Unknown
   6 Priti Patel,Conservative Party
   6 Peter Oborne,Unknown
   6 Peter Jenkins (journalist),Unknown
   6 Owen Smith,Labour Party
   6 Owen Jones (writer),Unknown
   6 Oonagh McDonald,Labour Party
   6 Oona King,Labour Party
   6 Nicky Morgan,Conservative Party
   6 Nadine Dorries,Conservative Party
   6 Michael Winner,Unknown
   6 Liz Kendall,Labour Party
   6 Kirsty Williams,Liberal Party
   6 Kezia Dugdale,Labour Party
   6 Julia Neuberger,Unknown
   6 John Edmonds (trade unionist),Unknown
   6 John Bercow,Conservative Party
   6 Jim Prior,Conservative Party
   6 Jill Kirby,Unknown
   6 Jeremy Browne,Liberal Party
   6 Jean Lambert,Unknown
   6 Howard Davies (economist),Unknown
   6 Helen Mary Jones,Plaid Cymru
   6 Giles Fraser,Unknown
   6 Eric Heffer,Labour Party
   6 Ed Balls,Labour Party
   6 Douglas Carswell,UK Independence Party
   6 Dominic Raab,Conservative Party
   6 David Penhaligon,Liberal Party
   6 David Lammy,Labour Party
   6 David Cameron,Conservative Party
   6 Claire Perry,Conservative Party
   6 Cheryl Gillan,Conservative Party
   6 Anne McElvoy,Unknown
   6 Ann Burdus,Unknown
   6 Angus Robertson,Scottish National Party
   6 Alastair Campbell,Labour Party
   6 "Tessa Blackstone, Baroness Blackstone",Unknown
   6 "Susan Thomas, Baroness Thomas of Walliswood",Unknown
   6 "Pauline Neville-Jones, Baroness Neville-Jones",Conservative Party
   6 "Michael Forsyth, Baron Forsyth of Drumlean",Conservative Party
   6 "Grey Ruthven, 2nd Earl of Gowrie",Conservative Party
   6 "George Younger, 4th Viscount Younger of Leckie",Conservative Party
   6 "Elizabeth Symons, Baroness Symons of Vernham Dean",Unknown
   6 "Camilla Cavendish, Baroness Cavendish of Little Venice",Unknown
   5 Tony McNulty,Labour Party
   5 Toby Young,Conservative Party
   5 Susie Boniface,Unknown
   5 Steven Norris,Conservative Party
   5 Sara Parkin,Unknown
   5 Sal Brinton,Liberal Party
   5 Ruth Wishart,Unknown
   5 Russell Johnston,Unknown
   5 Rodney Bickerstaffe,Unknown
   5 Robert Kilroy-Silk,Independent
   5 Rhodri Morgan,Labour Party
   5 Phil Willis,Liberal Party
   5 Norman Lamb,Labour Party
