"Episode","Date","Location","Guest","GuestUrl","Party","PartyUrl"
0,"1979-05-04","","Robin Day","https://en.wikipedia.org/wiki/Robin_Day","Unknown",""
0,"1979-05-04","","Robert McKenzie (psephologist)","https://en.wikipedia.org/wiki/Robert_McKenzie_(psephologist)","Unknown",""
0,"1979-05-04","","David Butler (psephologist)","https://en.wikipedia.org/wiki/David_Butler_(psephologist)","Unknown",""
1,"1979-09-25","Greenwood Theatre, South London","Michael Foot","https://en.wikipedia.org/wiki/Michael_Foot","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
1,"1979-09-25","Greenwood Theatre, South London","Teddy Taylor","https://en.wikipedia.org/wiki/Teddy_Taylor","Scottish Conservatives","https://en.wikipedia.org/wiki/Scottish_Conservatives"
1,"1979-09-25","Greenwood Theatre, South London","Edna O'Brien","https://en.wikipedia.org/wiki/Edna_O%27Brien","Unknown",""
1,"1979-09-25","Greenwood Theatre, South London","Derek Worlock","https://en.wikipedia.org/wiki/Derek_Worlock","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Tess Gill","","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Jo Grimond","https://en.wikipedia.org/wiki/Jo_Grimond","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Eric Morley","https://en.wikipedia.org/wiki/Eric_Morley","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Peter Shore","https://en.wikipedia.org/wiki/Peter_Shore","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
3,"1979-10-09","Greenwood Theatre, South London","Sue Arnold","https://en.wikipedia.org/wiki/Sue_Arnold","Unknown",""
3,"1979-10-09","Greenwood Theatre, South London","Michael Heseltine","https://en.wikipedia.org/wiki/Michael_Heseltine","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
3,"1979-10-09","Greenwood Theatre, South London","Bill Rodgers, Baron Rodgers of Quarry Bank","https://en.wikipedia.org/wiki/William_Rodgers,_Baron_Rodgers_of_Quarry_Bank","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
3,"1979-10-09","Greenwood Theatre, South London","Arthur Scargill","https://en.wikipedia.org/wiki/Arthur_Scargill","Unknown",""
4,"1979-10-16","Greenwood Theatre, South London","James Anderton","https://en.wikipedia.org/wiki/James_Anderton","Unknown",""
4,"1979-10-16","Greenwood Theatre, South London","Judith Hart","https://en.wikipedia.org/wiki/Judith_Hart","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
4,"1979-10-16","Greenwood Theatre, South London","John Mortimer","https://en.wikipedia.org/wiki/John_Mortimer","Unknown",""
4,"1979-10-16","Greenwood Theatre, South London","Enoch Powell","https://en.wikipedia.org/wiki/Enoch_Powell","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
5,"1979-10-23","Greenwood Theatre, South London","Anthony Frodsham","","Unknown",""
5,"1979-10-23","Greenwood Theatre, South London","Clive Jenkins","https://en.wikipedia.org/wiki/Clive_Jenkins","Unknown",""
5,"1979-10-23","Greenwood Theatre, South London","Margo MacDonald","https://en.wikipedia.org/wiki/Margo_MacDonald","Independent politician","https://en.wikipedia.org/wiki/Independent_politician"
5,"1979-10-23","Greenwood Theatre, South London","Nicholas Scott","https://en.wikipedia.org/wiki/Nicholas_Scott","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
6,"1979-10-30","Greenwood Theatre, South London","Roy Hattersley","https://en.wikipedia.org/wiki/Roy_Hattersley","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
6,"1979-10-30","Greenwood Theatre, South London","Elspeth Howe, Baroness Howe of Idlicote","https://en.wikipedia.org/wiki/Elspeth_Howe,_Baroness_Howe_of_Idlicote","Unknown",""
6,"1979-10-30","Greenwood Theatre, South London","Emily Macfarquhar","","Unknown",""
6,"1979-10-30","Greenwood Theatre, South London","Ray Whitney (politician)","https://en.wikipedia.org/wiki/Ray_Whitney_(politician)","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
7,"1979-11-06","Greenwood Theatre, South London","Julian Amery","https://en.wikipedia.org/wiki/Julian_Amery","Unknown",""
7,"1979-11-06","Greenwood Theatre, South London","Paul Johnson (writer)","https://en.wikipedia.org/wiki/Paul_Johnson_(writer)","Unknown",""
7,"1979-11-06","Greenwood Theatre, South London","Wendy Mantle","","Unknown",""
7,"1979-11-06","Greenwood Theatre, South London","Sidney Weighell","https://en.wikipedia.org/wiki/Sid_Weighell","Unknown",""
8,"1979-11-13","Greenwood Theatre, South London","Clement Freud","https://en.wikipedia.org/wiki/Clement_Freud","Liberal Party (UK)","https://en.wikipedia.org/wiki/Liberal_Party_(UK)"
8,"1979-11-13","Greenwood Theatre, South London","Ann Leslie","https://en.wikipedia.org/wiki/Ann_Leslie","Unknown",""
8,"1979-11-13","Greenwood Theatre, South London","David Owen","https://en.wikipedia.org/wiki/David_Owen","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
8,"1979-11-13","Greenwood Theatre, South London","Peter Thorneycroft","https://en.wikipedia.org/wiki/Peter_Thorneycroft","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
9,"1979-11-20","Greenwood Theatre, South London","Rachel Billington","https://en.wikipedia.org/wiki/Rachel_Billington","Unknown",""
9,"1979-11-20","Greenwood Theatre, South London","Barbara Castle","https://en.wikipedia.org/wiki/Barbara_Castle","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
9,"1979-11-20","Greenwood Theatre, South London","Monty Finniston","https://en.wikipedia.org/wiki/Monty_Finniston","Unknown",""
9,"1979-11-20","Greenwood Theatre, South London","William Waldegrave, Baron Waldegrave of North Hill","https://en.wikipedia.org/wiki/William_Waldegrave,_Baron_Waldegrave_of_North_Hill","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
10,"1979-11-27","Greenwood Theatre, South London","Janet Fookes","https://en.wikipedia.org/wiki/Janet_Fookes","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
10,"1979-11-27","Greenwood Theatre, South London","Robert Kilroy-Silk","https://en.wikipedia.org/wiki/Robert_Kilroy-Silk","Independent politician","https://en.wikipedia.org/wiki/Independent_politician"
10,"1979-11-27","Greenwood Theatre, South London","William Rees-Mogg","https://en.wikipedia.org/wiki/William_Rees-Mogg","Unknown",""
10,"1979-11-27","Greenwood Theatre, South London","Barbara Wootton, Baroness Wootton of Abinger","https://en.wikipedia.org/wiki/Barbara_Wootton,_Baroness_Wootton_of_Abinger","Unknown",""
11,"1979-12-04","Greenwood Theatre, South London","Eldon Griffiths","https://en.wikipedia.org/wiki/Eldon_Griffiths","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
11,"1979-12-04","Greenwood Theatre, South London","Conor Cruise O'Brien","https://en.wikipedia.org/wiki/Conor_Cruise_O%27Brien","Labour Party (Ireland)","https://en.wikipedia.org/wiki/Labour_Party_(Ireland)"
11,"1979-12-04","Greenwood Theatre, South London","Gaia Servadio","","Unknown",""
11,"1979-12-04","Greenwood Theatre, South London","Eric Varley","https://en.wikipedia.org/wiki/Eric_Varley","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
12,"1979-12-11","Greenwood Theatre, South London","George Brown, Baron George-Brown","https://en.wikipedia.org/wiki/George_Brown,_Baron_George-Brown","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
12,"1979-12-11","Greenwood Theatre, South London","Clare Francis","https://en.wikipedia.org/wiki/Clare_Francis","Unknown",""
12,"1979-12-11","Greenwood Theatre, South London","Joan Lestor","https://en.wikipedia.org/wiki/Joan_Lestor,_Baroness_Lestor_of_Eccles","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
12,"1979-12-11","Greenwood Theatre, South London","Christopher Mayhew","https://en.wikipedia.org/wiki/Christopher_Mayhew","Unknown",""
13,"1979-12-18","Greenwood Theatre, South London","Neil Kinnock","https://en.wikipedia.org/wiki/Neil_Kinnock","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
13,"1979-12-18","Greenwood Theatre, South London","Bel Mooney","https://en.wikipedia.org/wiki/Bel_Mooney","Unknown",""
13,"1979-12-18","Greenwood Theatre, South London","Chris Patten","https://en.wikipedia.org/wiki/Chris_Patten","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
13,"1979-12-18","Greenwood Theatre, South London","John Rae (educator)","https://en.wikipedia.org/wiki/John_Rae_(educator)","Unknown",""
14,"1980-01-15","","Tony Benn","https://en.wikipedia.org/wiki/Tony_Benn","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
14,"1980-01-15","","Germaine Greer","https://en.wikipedia.org/wiki/Germaine_Greer","Unknown",""
14,"1980-01-15","","John Hackett (British Army officer)","https://en.wikipedia.org/wiki/John_Hackett_(British_Army_officer)","Unknown",""
14,"1980-01-15","","Norman St John-Stevas","https://en.wikipedia.org/wiki/Norman_St._John_Stevas","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
15,"1980-01-22","","Tessa Jowell","https://en.wikipedia.org/wiki/Tessa_Jowell","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
15,"1980-01-22","","William Rees-Mogg","https://en.wikipedia.org/wiki/William_Rees-Mogg","Unknown",""
15,"1980-01-22","","William Waldegrave, Baron Waldegrave of North Hill","https://en.wikipedia.org/wiki/William_Waldegrave,_Baron_Waldegrave_of_North_Hill","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
15,"1980-01-22","","Barbara Wootton, Baroness Wootton of Abinger","https://en.wikipedia.org/wiki/Barbara_Wootton","Unknown",""
16,"1980-01-29","","Noel Annan, Baron Annan","https://en.wikipedia.org/wiki/Noel_Annan","Unknown",""
16,"1980-01-29","","Kenneth Baker, Baron Baker of Dorking","https://en.wikipedia.org/wiki/Kenneth_Baker,_Baron_Baker_of_Dorking","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
16,"1980-01-29","","Denis Healey","https://en.wikipedia.org/wiki/Denis_Healey","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
16,"1980-01-29","","Sara Morrison","","Unknown",""
17,"1980-02-05","","Edward du Cann","https://en.wikipedia.org/wiki/Edward_du_Cann","Unknown",""
17,"1980-02-05","","Monty Finniston","https://en.wikipedia.org/wiki/Monty_Finniston","Unknown",""
17,"1980-02-05","","Suzanne Lowry","","Unknown",""
17,"1980-02-05","","Oonagh McDonald","https://en.wikipedia.org/wiki/Oonagh_McDonald","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
18,"1980-02-12","","Alun Gwynne Jones, Baron Chalfont","https://en.wikipedia.org/wiki/Alun_Chalfont","Unknown",""
18,"1980-02-12","","Nigel Lawson","https://en.wikipedia.org/wiki/Nigel_Lawson","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
18,"1980-02-12","","Merlyn Rees","https://en.wikipedia.org/wiki/Merlyn_Rees","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
18,"1980-02-12","","Marina Warner","https://en.wikipedia.org/wiki/Marina_Warner","Unknown",""
19,"1980-02-21","","David Basnett","https://en.wikipedia.org/wiki/David_Basnett","Unknown",""
19,"1980-02-21","","Barbara Castle","https://en.wikipedia.org/wiki/Barbara_Castle","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
19,"1980-02-21","","Detta O'Cathain, Baroness O'Cathain","https://en.wikipedia.org/wiki/Detta_O%27Cathain","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
19,"1980-02-21","","Peter Tapsell (British politician)","https://en.wikipedia.org/wiki/Peter_Tapsell_(UK_politician)","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
20,"1980-02-28","","Anna Coote","","Unknown",""
20,"1980-02-28","","Janet Fookes","https://en.wikipedia.org/wiki/Janet_Fookes","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
20,"1980-02-28","","Gerald Kaufman","https://en.wikipedia.org/wiki/Gerald_Kaufman","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
20,"1980-02-28","","Cyril Smith","https://en.wikipedia.org/wiki/Cyril_Smith","Liberal Party (UK)","https://en.wikipedia.org/wiki/Liberal_Party_(UK)"
21,"1980-03-06","","Eric Heffer","https://en.wikipedia.org/wiki/Eric_Heffer","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
21,"1980-03-06","","Mary Kenny","https://en.wikipedia.org/wiki/Mary_Kenny","Unknown",""
21,"1980-03-06","","David Marquand","https://en.wikipedia.org/wiki/David_Marquand","Plaid Cymru","https://en.wikipedia.org/wiki/Plaid_Cymru"
21,"1980-03-06","","Geoffrey Rippon","https://en.wikipedia.org/wiki/Geoffrey_Rippon","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
22,"1980-03-13","","Rhodes Boyson","https://en.wikipedia.org/wiki/Rhodes_Boyson","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
22,"1980-03-13","","Austin Mitchell","https://en.wikipedia.org/wiki/Austin_Mitchell","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
22,"1980-03-13","","Alfred Robens, Baron Robens of Woldingham","https://en.wikipedia.org/wiki/Alfred_Robens","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
22,"1980-03-13","","Clare Short","https://en.wikipedia.org/wiki/Clare_Short","Independent politician","https://en.wikipedia.org/wiki/Independent_politician"
23,"1980-03-20","","John Gale (theatre producer)","https://en.wikipedia.org/wiki/John_Gale_(theatre_producer)","Unknown",""
23,"1980-03-20","","Jill Knight","https://en.wikipedia.org/wiki/Jill_Knight","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
23,"1980-03-20","","Michael Meacher","https://en.wikipedia.org/wiki/Michael_Meacher","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
23,"1980-03-20","","Donald Stokes, Baron Stokes","https://en.wikipedia.org/wiki/Donald_Stokes","Unknown",""
24,"1980-03-27","","Joel Barnett","https://en.wikipedia.org/wiki/Joel_Barnett","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
24,"1980-03-27","","John Biffen","https://en.wikipedia.org/wiki/John_Biffen","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
24,"1980-03-27","","Alan Fisher (trade unionist)","https://en.wikipedia.org/wiki/Alan_Fisher_(trade_unionist)","Unknown",""
24,"1980-03-27","","Sarah Hogg, Viscountess Hailsham","https://en.wikipedia.org/wiki/Sarah_Hogg","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
25,"1980-04-03","","Bonnie Angelo","","Unknown",""
25,"1980-04-03","","Julian Critchley","https://en.wikipedia.org/wiki/Julian_Critchley","Unknown",""
25,"1980-04-03","","Lena Jeger, Baroness Jeger","https://en.wikipedia.org/wiki/Lena_Jeger","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
25,"1980-04-03","","Trevor Phillips","https://en.wikipedia.org/wiki/Trevor_Phillips","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
26,"1980-04-10","","Jock Bruce-Gardyne","https://en.wikipedia.org/wiki/Jock_Bruce-Gardyne","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
26,"1980-04-10","","Ray Buckton","https://en.wikipedia.org/wiki/Ray_Buckton","Unknown",""
26,"1980-04-10","","Margaret Maden","https://en.wikipedia.org/wiki/Margaret_Maden","Unknown",""
26,"1980-04-10","","Anthony Methuen, 6th Baron Methuen","https://en.wikipedia.org/wiki/Anthony_Methuen,_6th_Baron_Methuen","Unknown",""
27,"1980-04-17","","Elisabeth Hoodless","https://en.wikipedia.org/wiki/Elisabeth_Hoodless","Unknown",""
27,"1980-04-17","","Reginald Victor Jones","https://en.wikipedia.org/wiki/R.V._Jones","Unknown",""
27,"1980-04-17","","Sheila Roberts","https://en.wikipedia.org/wiki/Sheila_Roberts","Unknown",""
27,"1980-04-17","","John Silkin","https://en.wikipedia.org/wiki/John_Silkin","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
28,"1980-04-24","","Liliana Archibald","","Unknown",""
28,"1980-04-24","","Tessa Blackstone, Baroness Blackstone","https://en.wikipedia.org/wiki/Tessa_Blackstone","Unknown",""
28,"1980-04-24","","Nicholas Fairbairn","https://en.wikipedia.org/wiki/Nicholas_Fairbairn","Scottish Conservatives","https://en.wikipedia.org/wiki/Scottish_Conservatives"
28,"1980-04-24","","Dickson Mabon","https://en.wikipedia.org/wiki/Dickson_Mabon","Labour Co-operative","https://en.wikipedia.org/wiki/Labour_Co-operative"
29,"1980-05-01","","Joe Ashton","https://en.wikipedia.org/wiki/Joe_Ashton","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
29,"1980-05-01","","John Biggs-Davison","https://en.wikipedia.org/wiki/John_Biggs-Davison","Unknown",""
29,"1980-05-01","","Emma Nicholson, Baroness Nicholson of Winterbourne","https://en.wikipedia.org/wiki/Emma_Nicholson","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
29,"1980-05-01","","Ivor Richard, Baron Richard","https://en.wikipedia.org/wiki/Ivor_Richard","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
30,"1980-05-08","","Alan Beith","https://en.wikipedia.org/wiki/Alan_Beith","Liberal Party (UK)","https://en.wikipedia.org/wiki/Liberal_Party_(UK)"
30,"1980-05-08","","John Grugeon","https://en.wikipedia.org/wiki/John_Grugeon","Unknown",""
30,"1980-05-08","","Stan Orme","https://en.wikipedia.org/wiki/Stanley_Orme","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
30,"1980-05-08","","Claire Palley","https://en.wikipedia.org/wiki/Claire_Palley","Unknown",""
31,"1980-05-15","","Hugh Clegg (industrial relations expert)","https://en.wikipedia.org/wiki/Hugh_Clegg_(industrial_relations)","Unknown",""
31,"1980-05-15","","Reg Prentice","https://en.wikipedia.org/wiki/Reg_Prentice","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
31,"1980-05-15","","Jo Richardson","https://en.wikipedia.org/wiki/Jo_Richardson","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
31,"1980-05-15","","Angela Rumbold","https://en.wikipedia.org/wiki/Angela_Rumbold","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
32,"1980-05-22","","Leon Brittan","https://en.wikipedia.org/wiki/Leon_Brittan","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
32,"1980-05-22","","Paul Foot (journalist)","https://en.wikipedia.org/wiki/Paul_Foot_(journalist)","Unknown",""
32,"1980-05-22","","Walter Goldsmith","","Unknown",""
32,"1980-05-22","","Shirley Williams","https://en.wikipedia.org/wiki/Shirley_Williams","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
33,"1980-05-29","","Patricia Hewitt","https://en.wikipedia.org/wiki/Patricia_Hewitt","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
33,"1980-05-29","","Bob Mellish","https://en.wikipedia.org/wiki/Robert_Mellish","Liberal Democrats (UK)","https://en.wikipedia.org/wiki/Liberal_Democrats_(UK)"
33,"1980-05-29","","Timothy Raison","https://en.wikipedia.org/wiki/Timothy_Raison","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
33,"1980-05-29","","David Sheppard","https://en.wikipedia.org/wiki/David_Sheppard","Unknown",""
34,"1980-06-05","","Patrick Devlin, Baron Devlin","https://en.wikipedia.org/wiki/Patrick_Devlin,_Baron_Devlin","Unknown",""
34,"1980-06-05","","Patricia Hollis, Baroness Hollis of Heigham","https://en.wikipedia.org/wiki/Patricia_Hollis","Unknown",""
34,"1980-06-05","","Harold Lever, Baron Lever of Manchester","https://en.wikipedia.org/wiki/Harold_Lever","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
34,"1980-06-05","","Janet Young, Baroness Young","https://en.wikipedia.org/wiki/Janet_Young,_Baroness_Young","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
35,"1980-06-12","","Ann Clwyd","https://en.wikipedia.org/wiki/Ann_Clwyd","Welsh Labour","https://en.wikipedia.org/wiki/Welsh_Labour"
35,"1980-06-12","","James Goldsmith","https://en.wikipedia.org/wiki/James_Goldsmith","Unknown",""
35,"1980-06-12","","Sally Oppenheim-Barnes","https://en.wikipedia.org/wiki/Sally_Oppenheim-Barnes","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
35,"1980-06-12","","Bill Sirs","https://en.wikipedia.org/wiki/Bill_Sirs","Unknown",""
36,"1980-10-16","","David Basnett","https://en.wikipedia.org/wiki/David_Basnett","Unknown",""
36,"1980-10-16","","Patricia Hewitt","https://en.wikipedia.org/wiki/Patricia_Hewitt","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
36,"1980-10-16","","Daphne Park","https://en.wikipedia.org/wiki/Daphne_Park","Unknown",""
36,"1980-10-16","","Jim Prior","https://en.wikipedia.org/wiki/James_Prior","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
37,"1980-10-23","","Roy Hattersley","https://en.wikipedia.org/wiki/Roy_Hattersley","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
37,"1980-10-23","","Una Kroll","https://en.wikipedia.org/wiki/Una_Kroll","Unknown",""
37,"1980-10-23","","Nigel Lawson","https://en.wikipedia.org/wiki/Nigel_Lawson","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
37,"1980-10-23","","Arnold Weinstock","https://en.wikipedia.org/wiki/Arnold_Weinstock","Unknown",""
38,"1980-10-30","","Denis Healey","https://en.wikipedia.org/wiki/Denis_Healey","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
38,"1980-10-30","","Mary Kaldor","https://en.wikipedia.org/wiki/Mary_Kaldor","Unknown",""
38,"1980-10-30","","Conor Cruise O'Brien","https://en.wikipedia.org/wiki/Conor_Cruise_O%27Brien","Labour Party (Ireland)","https://en.wikipedia.org/wiki/Labour_Party_(Ireland)"
38,"1980-10-30","","Peter Thorneycroft","https://en.wikipedia.org/wiki/Peter_Thorneycroft","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
39,"1980-11-06","","Mary Baker","","Unknown",""
39,"1980-11-06","","Leonard Downie Jr.","https://en.wikipedia.org/wiki/Leonard_Downie","Unknown",""
39,"1980-11-06","","Francis Pym","https://en.wikipedia.org/wiki/Francis_Pym","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
39,"1980-11-06","","Peter Shore","https://en.wikipedia.org/wiki/Peter_Shore","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
40,"1980-11-13","","Liliana Brisby","https://en.wikipedia.org/wiki/Liliana_Brisby","Unknown",""
40,"1980-11-13","","Eric Heffer","https://en.wikipedia.org/wiki/Eric_Heffer","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
40,"1980-11-13","","Ann Leslie","https://en.wikipedia.org/wiki/Ann_Leslie","Unknown",""
40,"1980-11-13","","Norman St John-Stevas","https://en.wikipedia.org/wiki/Norman_St._John_Stevas","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
41,"1980-11-20","","Michael Carver","https://en.wikipedia.org/wiki/Michael_Carver","Unknown",""
41,"1980-11-20","","Judith Hart","https://en.wikipedia.org/wiki/Judith_Hart","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
41,"1980-11-20","","Gavin Laird","https://en.wikipedia.org/wiki/Gavin_Laird","Unknown",""
41,"1980-11-20","","Angus Maude","https://en.wikipedia.org/wiki/Angus_Maude","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
42,"1980-11-27","","John Alderson (police officer)","https://en.wikipedia.org/wiki/John_Alderson_(police_officer)","Unknown",""
42,"1980-11-27","","Dianne Hayter","https://en.wikipedia.org/wiki/Dianne_Hayter","Unknown",""
42,"1980-11-27","","Roy Shaw (arts administrator)","https://en.wikipedia.org/wiki/Roy_Shaw_(arts_administrator)","Unknown",""
42,"1980-11-27","","Teddy Taylor","https://en.wikipedia.org/wiki/Teddy_Taylor","Scottish Conservatives","https://en.wikipedia.org/wiki/Scottish_Conservatives"
43,"1980-12-04","","Tessa Blackstone, Baroness Blackstone","https://en.wikipedia.org/wiki/Tessa_Blackstone","Unknown",""
43,"1980-12-04","","Lynda Chalker","https://en.wikipedia.org/wiki/Lynda_Chalker","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
43,"1980-12-04","","Joe Gormley (trade unionist)","https://en.wikipedia.org/wiki/Joe_Gormley_(trade_unionist)","Unknown",""
43,"1980-12-04","","John Harvey-Jones","https://en.wikipedia.org/wiki/John_Harvey-Jones","Unknown",""
44,"1980-12-11","","David Howell, Baron Howell of Guildford","https://en.wikipedia.org/wiki/David_Howell,_Baron_Howell_of_Guildford","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
44,"1980-12-11","","Peter Jay (diplomat)","https://en.wikipedia.org/wiki/Peter_Jay_(diplomat)","Unknown",""
44,"1980-12-11","","Neil Kinnock","https://en.wikipedia.org/wiki/Neil_Kinnock","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
44,"1980-12-11","","Gillian Peele","","Unknown",""
45,"1980-12-18","","Stanley Booth-Clibborn","https://en.wikipedia.org/wiki/Stanley_Booth-Clibborn","Unknown",""
45,"1980-12-18","","Edward du Cann","https://en.wikipedia.org/wiki/Edward_du_Cann","Unknown",""
45,"1980-12-18","","Antonia Fraser","https://en.wikipedia.org/wiki/Antonia_Fraser","Unknown",""
45,"1980-12-18","","Shirley Williams","https://en.wikipedia.org/wiki/Shirley_Williams","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
46,"1981-01-15","","Barbara Castle","https://en.wikipedia.org/wiki/Barbara_Castle,_Baroness_Castle_of_Blackburn","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
46,"1981-01-15","","Peter Parker (British businessman)","https://en.wikipedia.org/wiki/Peter_Parker_(British_businessman)","Unknown",""
46,"1981-01-15","","Cyril Smith","https://en.wikipedia.org/wiki/Cyril_Smith","Liberal Party (UK)","https://en.wikipedia.org/wiki/Liberal_Party_(UK)"
46,"1981-01-15","","William Whitelaw, 1st Viscount Whitelaw","https://en.wikipedia.org/wiki/William_Whitelaw,_1st_Viscount_Whitelaw","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
47,"1981-01-22","","Terence Beckett","https://en.wikipedia.org/wiki/Terence_Beckett","Unknown",""
